    Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.02s
     Running `target/debug/func-analysis analyze target/debug/ex-glibc`
Binary: target/debug/ex-glibc
Type: dynamic
Functions: 520
Functions size: 253995 bytes
.text size: 257360 bytes
Coverage: 98.7%

FUNCTION                                       SIZE      ADDRESS     REFS
_ZN95_$LT$std..path..Components$u20$a...        889      0x407a0        0
_ZN3std4path4Path7is_file17h71e44c482...        225      0x25630        0
_ZN4core6result13unwrap_failed17h8e46...        118      0x51f90        0
_ZN4core3fmt3num52_$LT$impl$u20$core....         99      0x4f490        0
_ZN64_$LT$std..sys..stdio..unix..Stde...         78      0x3fcf0        0
_ZN4core9panicking18panic_nounwind_fm...         69      0x52530        0
_ZN5alloc11collections5btree4node208H...        156      0x44ba2        0
_ZN4core4cell22panic_already_borrowed...         83      0x51970        0
_ZN42_$LT$$RF$T$u20$as$u20$core..fmt....         11      0x4ea80        0
_ZN64_$LT$std..sys..stdio..unix..Stde...          3      0x3fce0        0
_ZN3std4sync4once4Once15call_once_for...         73      0x25a30        0
_ZN4core5slice4sort6stable9quicksort9...       2737      0x32390        0
_ZN71_$LT$rustc_demangle..legacy..Dem...       2777      0x4a7a8        0
_ZN3std3sys2fs8metadata17h22c701e7840...        328      0x21cf0        0
_ZN44_$LT$$RF$T$u20$as$u20$core..fmt....        134      0x26af0        0
_ZN4core3fmt5Write9write_fmt17h909a34...         16      0x26f50        0
_ZN4core9panicking18panic_bounds_chec...         92      0x524c6        0
_ZN50_$LT$$BP$mut$u20$T$u20$as$u20$co...          9      0x33f50        0
_ZN64_$LT$std..sys..stdio..unix..Stde...          3      0x3fcd0        0
_ZN4core3fmt5Write9write_fmt17hddc775...         16      0x4f6c0        0
_ZN42_$LT$$RF$T$u20$as$u20$core..fmt....         21      0x26ad0        0
_ZN57_$LT$core..fmt..Formatter$u20$as...         16      0x507c0        0
_ZN4core9panicking19assert_failed_inn...        318      0x52575        0
_ZN4core7unicode12unicode_data15graph...        249      0x52010        0
_ZN4core6escape14escape_unicode17hc8b...        190      0x4a0d8        0
_ZN5alloc7raw_vec19RawVec$LT$T$C$A$GT...        103      0x36c00        0
_ZN5alloc7raw_vec19RawVec$LT$T$C$A$GT...        103      0x36dc0        0
_ZN68_$LT$$RF$$u5b$u8$u5d$$u20$as$u20...         79      0x43f50        0
_ZN3std3sys4sync5mutex5futex5Mutex14l...        231      0x24190        0
_RNvCsiGVaDesi5rv_7___rustc13___rdl_d...          6      0x14700        0
_ZN81_$LT$std..io..default_write_fmt....        103      0x404d0        0
_ZN5alloc11collections5btree4node214H...        373      0x453e4        0
_ZN6memchr4arch6x86_646memchr10memchr...        431      0x44170        0
_ZN64_$LT$rustc_demangle..v0..Ident$u...       1037      0x4a2fe        0
_ZN4core5slice4sort6stable14driftsort...        328      0x2de80        0
_ZN5gimli4read6abbrev10Attributes4pus...        313      0x458b9        0
_ZN3std3sys4sync6rwlock5futex6RwLock1...        431      0x24280        0
_ZN93_$LT$std..panicking..panic_handl...          8      0x40740        0
_ZN4core3ffi5c_str4CStr19from_bytes_w...        273      0x4eba0        0
_ZN65_$LT$core..cell..BorrowMutError$...         21      0x52bd0        0
_ZN3std3env11current_dir17hd8d292994e...        456      0x20dd0        0
_ZN93_$LT$std..panicking..panic_handl...         76      0x40750        0
_ZN4core3ops8function6FnOnce40call_on...          5      0x27320        0
_ZN58_$LT$alloc..string..String$u20$a...        274      0x348d0        0
_ZN4core9panicking16panic_in_cleanup1...         20      0x524b2        0
_ZN9addr2line4line5Lines13find_locati...        298      0x44414        0
_RNvCsiGVaDesi5rv_7___rustc10rust_panic         111      0x14620        0
_ZN3std3sys9backtrace10_print_fmt28_$...         26      0x24660        0
_ZN4core5slice4sort6stable14driftsort...        342      0x2dfd0        0
_ZN3std9panicking11panic_count17is_ze...         29      0x26040        0
_ZN4core3ops8function6FnOnce40call_on...        130      0x27330        0
_RNvCsiGVaDesi5rv_7___rustc12___rust_...         10      0x146f0        0
_ZN5alloc7raw_vec19RawVec$LT$T$C$A$GT...        103      0x36f10        0
rust_eh_personality                            1471      0x43990        0
_ZN3std7process5abort17hf9f8b37f97bb6...          9      0x26030        0
_ZN4core3ops8function6FnOnce40call_on...          5      0x273e0        0
_ZN5alloc5boxed16Box$LT$T$C$A$GT$13ne...         49      0x4558a        0
_ZN3std9panicking15panic_with_hook17h...        626      0x26826        0
_ZN3std9panicking14payload_as_str17h1...        134      0x267a0        0
_RNvCsiGVaDesi5rv_7___rustc19___rust_...          5      0x145c0        0
_ZN5alloc11collections5btree4node212H...        396      0x45109        0
_ZN83_$LT$rustc_demangle..SizeLimited...         37      0x4b608        0
_ZN60_$LT$core..str..lossy..Debug$u20...       1069      0x527a0        0
_ZN5alloc7raw_vec19RawVec$LT$T$C$A$GT...        103      0x36c70        0
_ZN5alloc7raw_vec19RawVec$LT$T$C$A$GT...        103      0x36d50        0
_ZN45_$LT$$LP$$RP$$u20$as$u20$core..f...         21      0x49dd6        0
_ZN5gimli4read6abbrev12Abbreviation3n...        139      0x459f2        0
_ZN63_$LT$rustc_demangle..Demangle$u2...        320      0x4a1be        0
_ZN5alloc7raw_vec20RawVecInner$LT$A$G...         70      0x4562f        0
_ZN4core5slice29_$LT$impl$u20$$u5b$T$...        103      0x51c20        0
_ZN81_$LT$std..io..default_write_fmt....        152      0x40540        0
_ZN79_$LT$std..backtrace_rs..symboliz...        217      0x3fd40        0
_ZN58_$LT$alloc..string..String$u20$a...        103      0x349f0        0
_ZN4core9panicking5panic17hfe04fa8038...         60      0x52720        0
_ZN4core3fmt5write17h1d2246b072ea91ebE          529      0x4f6d0        0
_ZN4core3fmt3num3imp51_$LT$impl$u20$c...        149      0x4ed60        0
_ZN4core9panicking11panic_const23pani...         55      0x523c0        0
_ZN5alloc11collections5btree4node210H...        538      0x44d45        0
_ZN5alloc11collections5btree3map25BTr...        165      0x44720        0
_ZN50_$LT$$RF$mut$u20$T$u20$as$u20$co...         19      0x4a196        0
_ZN3std2io5impls74_$LT$impl$u20$std.....          3      0x201a0        0
_ZN5alloc3ffi5c_str7CString19_from_ve...        238      0x4df00        0
_ZN4core3fmt5Write10write_char17hcc86...        290      0x26c90        0
_ZN3std4path4Path13_strip_prefix17h14...        749      0x25250        0
_ZN4core3fmt5Write10write_char17hc91b...        154      0x49e58        0
_ZN3std2io5Write9write_fmt17h4dc37df9...        301      0x1fb60        0
_ZN3std3sys3pal4unix14stack_overflow3...        979      0x237e0        0
_ZN71_$LT$core..ops..range..Range$LT$...         74      0x52ed0        0
_ZN5alloc4sync16Arc$LT$T$C$A$GT$9drop...         78      0x36af0        0
_ZN4core5slice4sort6stable14driftsort...        348      0x2e130        0
_ZN70_$LT$alloc..vec..Vec$LT$T$C$A$GT...          1      0x45b77        0
_ZN5alloc7raw_vec19RawVec$LT$T$C$A$GT...        103      0x36e30        0
_ZN57_$LT$core..fmt..Formatter$u20$as...         16      0x52780        0
_ZN3std3sys4args4unix3imp15ARGV_INIT_...         18      0x23f30        0
_ZN4core3fmt5Write9write_fmt17h68aa9c...         16      0x26f40        0
_ZN42_$LT$$RF$T$u20$as$u20$core..fmt....         43      0x49da2        0
_ZN4core3fmt8builders9DebugList6finis...         52      0x4fba0        0
_ZN3std3sys12thread_local5guard3key6e...        253      0x214d0        0
main                                             32      0x14570        0
_RNvCsiGVaDesi5rv_7___rustc26___rust_...         19      0x14870        0
_ZN5alloc5boxed16Box$LT$T$C$A$GT$13ne...         49      0x45559        0
_ZN4core3str5count14do_count_chars17h...       1490      0x50b80        0
_start                                           38      0x14360        0
_ZN3std2io5Write18write_all_vectored1...        458      0x1f7a0        0
_ZN4core5slice4sort6stable9quicksort9...       2516      0x319b0        0
_ZN4core5error5Error7provide17h635e75...          1      0x2cc90        0
_ZN4core3fmt9Formatter3pad17h999b8bee...       1081      0x50380        0
_ZN36_$LT$T$u20$as$u20$core..any..Any...         14      0x15160        0
_ZN3std3sys4sync4once5futex4Once4call...        566      0x23f50        0
_ZN5alloc6string6String11try_reserve1...        139      0x4e010        0
_ZN4core6option13unwrap_failed17h02f4...         25      0x51f70        0
_ZN36_$LT$T$u20$as$u20$core..any..Any...         14      0x15150        0
_ZN6adler27Adler3211write_slice17he1f...        995      0x4dad0        0
_ZN4core3fmt5Write9write_fmt17h83dc43...         16      0x49ef2        0
_ZN80_$LT$std..path..Components$u20$a...        929      0x3fe20        0
_ZN4core3fmt5Write10write_char17he564...        375      0x26dc0        0
_ZN3std2rt19lang_start_internal17h00c...       2019      0x205e0        0
_ZN5alloc4sync16Arc$LT$T$C$A$GT$9drop...         86      0x36980        0
_ZN3std2io5Write9write_all17h01ddba64...        189      0x1f970        0
_ZN5alloc6string6String15from_utf8_lo...        574      0x4e0a0        0
_ZN4core3fmt5Write9write_fmt17hf60dad...         16      0x26f70        0
_ZN4core4cell22panic_already_borrowed...         10      0x51960        0
_ZN5alloc7raw_vec19RawVec$LT$T$C$A$GT...        103      0x36b90        0
_ZN3std12backtrace_rs9symbolize5gimli...        999      0x15760        0
_ZN98_$LT$std..sys..backtrace..Backtr...        625      0x40d00        0
_ZN4core3fmt3num55_$LT$impl$u20$core....        101      0x4f5e0        0
_ZN42_$LT$$RF$T$u20$as$u20$core..fmt....         16      0x4ea90        0
_RNvCsiGVaDesi5rv_7___rustc17rust_beg...         29      0x147c0        0
_ZN68_$LT$core..fmt..builders..PadAda...         95      0x52bf0        0
_ZN3std2io5stdio22try_set_output_capt...        184      0x20290        0
_ZN4core5slice4sort8unstable8heapsort...        244      0x339c0        0
_ZN4core3str19slice_error_fail_rt17hc...        919      0x507e0        0
